"x","HEOG","group"
-260,-0.164668001509772,"rep 1"
90,0.0663777990582028,"rep 1"
260,0.151903040152424,"rep 1"
260,0.16275325730617,"rep 1"
-90,-0.0631865587188658,"rep 1"
90,0.0612718145152637,"rep 1"
260,0.175518218663516,"rep 1"
-260,-0.145520559473752,"rep 1"
260,0.160838513102567,"rep 1"
-90,-0.0606335664473967,"rep 1"
90,0.0791427604155483,"rep 1"
-260,-0.135308590387874,"rep 1"
-90,-0.0542510857687235,"rep 1"
-90,-0.0689307913296719,"rep 1"
-260,-0.165306249577639,"rep 1"
90,0.070845535533274,"rep 1"
-260,-0.150626544016689,"rep 2"
90,0.068292543261804,"rep 2"
260,0.134032094252139,"rep 2"
260,0.158923768898966,"rep 2"
-90,-0.0772280162119463,"rep 2"
90,0.0638248067867328,"rep 2"
260,0.165944497645506,"rep 2"
-260,-0.148711799813088,"rep 2"
260,0.153179536288159,"rep 2"
-90,-0.0516980934972535,"rep 2"
90,0.0638248067867328,"rep 2"
-260,-0.146158807541619,"rep 2"
-90,-0.0568040780401926,"rep 2"
-90,-0.0727602797368751,"rep 2"
-260,-0.153179536288159,"rep 2"
90,0.0753132720083451,"rep 2"
-260,-0.155094280491761,"rep 3"
90,0.0804192565512833,"rep 3"
260,0.153179536288159,"rep 3"
260,0.146158807541618,"rep 3"
-90,-0.074675023940478,"rep 3"
90,0.0676542951939369,"rep 3"
260,0.172965226392047,"rep 3"
-260,-0.149988295948822,"rep 3"
260,0.157009024695363,"rep 3"
-90,-0.0561658299723255,"rep 3"
90,0.071483783601141,"rep 3"
-260,-0.151264792084557,"rep 3"
-90,-0.0606335664473958,"rep 3"
-90,-0.074675023940478,"rep 3"
-260,-0.147435303677353,"rep 3"
90,0.0670160471260699,"rep 3"
