"x","VEOG","group"
-70,-0.0517023086111292,"rep 1"
-160,-0.0817024136077098,"rep 1"
70,-0.0427661071227856,"rep 1"
70,-0.0370214061659934,"rep 1"
-160,-0.0746811124382968,"rep 1"
160,0.0759577126509176,"rep 1"
-70,-0.0523406087174391,"rep 1"
70,0.060000209993162,"rep 1"
-70,-0.0421278070164747,"rep 1"
160,0.0982982163717753,"rep 1"
160,0.0848939141392604,"rep 1"
70,0.0548938091426807,"rep 1"
160,0.104681217434877,"rep 1"
-160,-0.0414895069101657,"rep 1"
-70,-0.0191490031893071,"rep 1"
-160,-0.0753194125446077,"rep 1"
-70,-0.019787303295617,"rep 2"
-160,-0.0657449109499541,"rep 2"
70,0.0389363064849241,"rep 2"
70,0.0370214061659934,"rep 2"
-160,-0.0682981113751948,"rep 2"
160,0.0848939141392604,"rep 2"
-70,-0.0580853096742313,"rep 2"
70,0.0734045122256761,"rep 2"
-70,-0.0529789088237491,"rep 2"
160,0.0925535154149841,"rep 2"
160,0.0753194125446068,"rep 2"
70,0.0651066108436442,"rep 2"
160,0.0944684157339139,"rep 2"
-160,-0.0900003149897425,"rep 2"
-70,-0.0236171039334784,"rep 2"
-160,-0.0721279120130562,"rep 2"
-70,-0.0191490031893071,"rep 3"
-160,-0.0785109130761592,"rep 3"
70,-0.0363831060596835,"rep 3"
70,0.02617030435872,"rep 3"
-160,-0.0702130116941255,"rep 3"
160,0.0823407137140197,"rep 3"
-70,-0.0561704093553006,"rep 3"
70,0.0734045122256761,"rep 3"
-70,-0.0414895069101648,"rep 3"
160,0.0612768102057819,"rep 3"
160,0.0778726129698483,"rep 3"
70,0.0548938091426798,"rep 3"
160,-0.146809024451353,"rep 3"
-160,-0.0772343128635375,"rep 3"
-70,-0.0255320042524092,"rep 3"
-160,-0.0676598112688848,"rep 3"
